,날짜,거래량,변동 %
670,2018-04-10,42431000000,-0.02
671,2018-04-09,45501000000,0.85
672,2018-04-06,50451000000,-0.04
673,2018-04-05,76081000000,0.86
674,2018-04-04,56061000000,-1.26
675,2018-04-03,50861000000,0.79
676,2018-04-02,79561000000,-0.4
677,2018-03-30,53551000000,-0.08
678,2018-03-29,54581000000,2.57
679,2018-03-28,73081000000,-1.1
680,2018-03-27,119051000000,0.1
681,2018-03-26,109991000000,3.95
682,2018-03-23,97171000000,-5.57
683,2018-03-22,77371000000,-2.06
684,2018-03-21,80511000000,-1.0
685,2018-03-20,74771000000,1.89
686,2018-03-19,54641000000,-1.98
687,2018-03-16,65201000000,0.6
688,2018-03-15,64491000000,0.6
689,2018-03-14,40621000000,0.1
690,2018-03-13,55941000000,-0.02
691,2018-03-12,53091000000,2.65
692,2018-03-09,43791000000,1.55
693,2018-03-08,29011000000,1.22
694,2018-03-07,28561000000,-1.46
695,2018-03-06,25101000000,2.86
696,2018-03-05,26381000000,-1.92
697,2018-03-02,26991000000,0.38
698,2018-02-28,32241000000,-1.82
699,2018-02-27,34981000000,-0.5
700,2018-02-26,38601000000,-0.2
701,2018-02-23,31691000000,0.79
702,2018-02-22,38421000000,-1.07
703,2018-02-21,56991000000,1.44
704,2018-02-20,38691000000,-2.09
705,2018-02-19,29751000000,3.36
706,2018-02-14,29921000000,3.12
707,2018-02-13,27251000000,-2.37
708,2018-02-12,37201000000,0.39
709,2018-02-09,38711000000,-3.35
710,2018-02-08,68171000000,3.9
711,2018-02-07,56991000000,-3.93
712,2018-02-06,67201000000,0.86
713,2018-02-05,45671000000,-5.06
714,2018-02-02,40921000000,-0.69
715,2018-02-01,50581000000,-1.01
716,2018-01-31,43611000000,-1.33
717,2018-01-30,49481000000,-1.34
718,2018-01-29,57781000000,2.34
719,2018-01-26,51811000000,1.33
720,2018-01-25,44591000000,0.02
721,2018-01-24,55841000000,-0.21
722,2018-01-23,46481000000,3.01
723,2018-01-22,54101000000,-1.15
724,2018-01-19,64791000000,-3.8
725,2018-01-18,67871000000,0.78
726,2018-01-17,99611000000,-2.14
727,2018-01-16,75341000000,1.06
728,2018-01-15,72501000,3.18
