,날짜,거래량,변동 %
599,2018-07-25,85721000000,-0.22
600,2018-07-24,99971000000,0.32
601,2018-07-23,87891000000,-0.8
602,2018-07-20,76111000000,0.35
603,2018-07-19,85401000000,-0.19
604,2018-07-18,78881000000,-0.14
605,2018-07-17,77991000000,-0.16
606,2018-07-16,69361000000,-0.43
607,2018-07-13,88561000000,1.44
608,2018-07-12,94351000000,-0.01
609,2018-07-11,102401000000,-0.59
610,2018-07-10,74331000000,0.34
611,2018-07-09,80241000000,0.71
612,2018-07-06,100951000000,0.51
613,2018-07-05,64861000000,-0.22
614,2018-07-04,67011000000,-0.37
615,2018-07-03,88701000000,0.14
616,2018-07-02,93231000000,-2.25
617,2018-06-29,91791000000,0.47
618,2018-06-28,88461000000,-1.32
619,2018-06-27,100171000000,-0.17
620,2018-06-26,95031000000,-0.2
621,2018-06-25,83141000000,-0.11
622,2018-06-22,92741000000,0.89
623,2018-06-21,101201000000,-0.99
624,2018-06-20,104271000000,0.89
625,2018-06-19,117681000000,-1.31
626,2018-06-18,121131000000,-1.09
627,2018-06-15,127401000000,-0.79
628,2018-06-14,147741000000,-1.78
629,2018-06-12,122231000000,-0.12
630,2018-06-11,103061000000,0.71
631,2018-06-08,103101000000,-0.85
632,2018-06-07,108021000000,0.6
633,2018-06-05,105961000000,0.29
634,2018-06-04,104431000000,0.52
635,2018-06-01,120951000000,0.74
636,2018-05-31,228471000000,0.54
637,2018-05-30,135721000000,-2.19
638,2018-05-29,117361000000,-0.87
639,2018-05-28,147741000000,0.3
640,2018-05-25,130291000000,0.18
641,2018-05-24,83141000000,-0.26
642,2018-05-23,122351000000,0.65
643,2018-05-21,96771000000,0.28
644,2018-05-18,83891000000,0.34
645,2018-05-17,107631000000,-0.53
646,2018-05-16,129021000000,0.33
647,2018-05-15,128391000000,-0.87
648,2018-05-14,141541000000,-0.25
649,2018-05-11,112401000000,0.38
650,2018-05-10,120901000000,0.92
651,2018-05-09,123611000000,-0.46
652,2018-05-08,141251000000,-0.28
