,지역명,평균관광소요시간,기준연월,콘텐츠아이디,mapx,mapy,시군구명,제목
827,경기도,78.87412903225807,202107,2009089,126.7869431719,37.597636095,김포시,경인 아라뱃길
828,경기도,143.5284193548387,202107,2011992,127.4473143245,37.6677593241,가평군,에델바이스 스위스테마파크
829,충청남도,219.94112903225803,202107,2013257,126.7005195897,36.8226382332,당진시,당진 백석올미마을
830,강원도,167.5305161290323,202107,2015509,129.3469452134,37.230440318,삼척시,수로부인 헌화공원 (남화산 해맞이공원)
831,경기도,145.27509677419354,202107,2018386,127.0083572389,37.0687930133,평택시,웃다리문화촌
832,경상남도,113.35658064516127,202107,2019720,128.5696552845,35.2077664005,창원시 마산합포구,가고파 꼬부랑길 벽화마을
833,인천광역시,103.12629032258066,202107,2020690,126.7397419611,37.3974779637,남동구,소래포구
834,전라북도,183.76541935483874,202107,2022531,126.4110635939,35.8161737144,군산시,선유도해수욕장 (명사십리 해수욕장)
835,충청남도,135.57458064516126,202107,2022638,127.4837737158,36.2249844937,금산군,하늘물빛정원
836,전라남도,85.92745161290324,202107,2024432,126.7808236399,34.5347608944,강진군,가우도
837,인천광역시,338.1546451612904,202107,2024639,126.4253141032,37.5338426901,옹진군,신시모도 (신도ㆍ시도ㆍ모도)
838,전라북도,70.15416129032258,202107,2031650,126.5251871053,35.5815940098,부안군,변산자연휴양림
839,경기도,294.24474193548383,202107,2032127,127.1435011916,37.9264819883,포천시,포천 어메이징파크
840,광주광역시,109.63848387096778,202107,2033294,126.8498782136,35.2298976827,북구,국립광주과학관
841,전라남도,178.84370967741938,202107,2033464,126.9340041552,34.6683512371,장흥군,정남진 편백숲 우드랜드
842,경기도,106.15690322580647,202107,2033483,127.0157089589,37.282637851,수원시 팔달구,수원시립아이파크미술관
843,서울특별시,175.6752580645161,202107,2033802,127.0276085491,37.6524145884,도봉구,둘리뮤지엄
844,경기도,66.55267741935484,202107,2034106,126.8639743016,37.4258629836,광명시,광명업사이클아트센터
845,서울특별시,111.44125806451612,202107,2034110,126.9267758542,37.5623482502,마포구,동진시장
846,경기도,179.6905483870968,202107,2034480,126.7905892226,37.3294284256,안산시 단원구,안산 다문화특구
847,충청남도,134.0513548387097,202107,2035859,127.1063009144,36.4685888322,공주시,고마나루
848,서울특별시,107.96322580645162,202107,2037020,126.9715379556,37.5794859494,종로구,서촌마을
849,서울특별시,175.95119354838712,202107,2037026,126.8992692645,37.490850511,영등포구,대림중앙시장
850,전라남도,176.13170967741934,202107,2037308,127.7531138477,34.7421374671,여수시,엑스포박람회장(엑스포해양공원)
851,대구광역시,76.51448387096774,202107,2042995,128.5923184438,35.8722030116,중구,대구 근대골목(근대로의 여행)
852,충청북도,127.672,202107,2043017,127.9947680811,36.9787795954,충주시,충주호 종댕이길
853,제주특별자치도,138.81029032258064,202107,2048059,126.927859034,33.4328331326,서귀포시,아쿠아플라넷 제주
854,제주특별자치도,42.574612903225805,202107,228853,126.5119710049,33.515803389,제주시,용두암
